"","V1","V2"
"436",425795.901609071,5022339.3366479
"437",442389.655976718,5064408.89300897
"438",458214.284685939,5023141.94111274
"439",442470.987325269,5037011.24082218
"440",421581.562647844,5071334.190335
"441",425682.568647336,5084965.64107684
"442",461455.029713909,5007662.49114688
"443",451494.830686896,5023179.11515016
"444",437898.82189496,5030441.43570775
"445",352438.859118984,4985883.16838905
"446",388593.899882753,5029110.81025797
"447",383317.570182243,4995224.86594762
"448",410705.551972526,4987556.61902268
"449",413048.371369958,5044321.985099
"450",355962.201628669,4969129.5260774
"451",413281.283256073,4987735.35613547
"452",373448.611232093,4992538.41489647
"453",421167.327349525,5030416.33093461
"454",401953.378006142,5025565.7504658
"455",383928.743380029,5014780.85170682
"456",401767.466043688,5028767.19660559
"457",405879.814456839,4991423.98799998
"458",357872.427211588,5017878.1188882
"459",410588.394133559,5034387.1995448
"460",391840.742663953,5016571.91552039
"461",321526.487319937,4996663.11481381
"462",411064.741213696,5018933.80982026
"463",388890.539609213,4985719.78732878
"464",364176.468640034,4960829.96052148
"465",347040.86722022,4960842.10913307
"466",417802.297920038,5035225.13201219
"467",394950.495946092,5000132.49999072
"468",395161.324969259,5031342.71985874
"469",410246.721501812,5040758.27478973
"470",420110.885246715,5023721.09322961
"471",361948.319920513,4997978.11238976
"472",403290.798169742,5013668.00080203
"473",408379.603874353,5002904.09742966
"474",365441.878330011,4965717.76387522
"475",406432.692657002,5040266.93490989
"476",426840.847682676,4996060.83446297
"477",379760.594370837,4985662.23968469
"478",426297.307811906,5000208.52072949
"479",358404.863762368,5002084.20545655
"480",375495.88584909,4970222.37884101
"481",416203.765193706,5037385.02919651
"482",395074.14709718,5019714.55181131
"483",353457.220540632,4999254.53665594
"484",376834.643851559,4992334.79198
"485",382915.29988709,5011164.54675628
"486",412364.508535702,5014821.22898791
"487",403450.395776165,4981212.3193185
"488",367736.746745421,4962618.15586767
"489",413598.012910759,5020251.27124836
"490",387856.010794129,4979901.884037
"491",388662.013752352,5026226.60440875
"492",368493.718683511,4978901.24938211
"493",373733.138056037,5023171.48978036
"494",369553.091600088,4999182.69684942
"495",418688.62281386,5027834.76009371
"496",408805.590915422,5048690.72298539
"497",394314.461048345,4972449.09996097
"498",400071.156955866,4968006.21809911
"499",416283.664093043,4997898.37394838
"500",414651.609760144,5036995.77916636
"501",379681.678271454,4995911.42588425
"502",394020.876870194,5003553.23054283
"503",413008.912760229,5001617.18850407
"504",386812.04412155,4972284.91059576
"505",399099.564842053,5028232.23854648
"506",396715.308207848,5035624.29657904
"507",405882.761157822,4996187.20352858
"508",424071.465135957,4999599.72752952
"509",372541.348680848,4961405.83389396
"510",381729.744428536,4969184.37109221
"511",371626.820091646,5019895.43389552
"512",358519.246100819,5033904.75555531
"513",327991.0478479,4977233.70323266
"514",369990.318805589,5026245.93004454
"515",356236.618548695,5003066.64228552
"516",414237.760375926,5039558.34412561
"517",407599.514392081,4984021.2918361
"518",394227.392700691,5030806.96660619
"519",341543.984047647,4996267.05411646
"520",368024.238332194,4995287.48093825
"521",413289.462979634,5006394.387752
"522",402921.957914639,5020326.33716818
"523",396897.256919314,5032897.68852625
"524",415209.761878564,4993839.35010884
"525",389416.907294011,5008322.85184178
"526",323055.059281522,4976821.44318177
"527",379754.421695733,5020224.56419985
"528",360762.730029419,4990117.85157531
"529",389090.336821096,4994064.18646774
"530",395880.771022273,5032653.60449858
"531",407157.490512569,5031453.47257235
"532",364181.477770124,5001857.42013247
"533",383946.804830763,5020600.17234827
"534",421749.032513279,5026333.51897549
"535",407008.410362441,5023386.89603697
"536",372596.368527604,4980633.20901879
"537",392952.481911303,5028248.71307834
"538",387501.433826599,5000904.76394881
"539",336290.92650811,4996888.98274145
"540",396950.848444078,5018281.56336122
"541",402639.148708297,5016518.67973501
"542",347037.254102015,4987247.79148541
"543",384418.2754779,5007575.27106455
"544",408499.815280343,5035412.32869036
"545",407678.393486006,5013293.09333768
"546",387753.24767862,5022544.48663331
"547",392122.696383871,5035361.32669189
"548",395540.946408939,5014199.58322729
"549",371595.324836909,4976011.91685292
"550",370992.911925088,4965735.93785362
"551",408618.196150243,4996655.61936054
"552",378851.460514002,5012136.89500593
"553",339097.941454714,5001663.71138177
"554",366452.379778458,4987118.29581562
"555",450373.605021008,4994977.06362983
"556",491027.573591099,4963485.05408814
"557",452602.994070169,4929436.9848285
"558",480913.786641098,4946585.51187864
"559",479936.038653908,4955284.48264703
"560",474214.389932995,4981575.99024379
"561",474210.295897726,4976732.14698173
"562",467188.964148222,4990786.30389384
"563",495254.943245022,4978106.66457574
"564",447236.930646338,4998203.05522417
"565",449424.886403239,4941591.23838752
"566",442606.494399346,4992216.62211127
"567",459751.023987963,4933467.42044164
"568",503144.987890866,4968336.84221508
"569",483320.190613996,4961983.01644445
"570",463529.776808956,4943515.1877591
"571",471439.787817059,4955696.7190556
"572",459520.553101226,4978006.91029103
"573",451693.391692958,4972625.84628467
"574",458307.974290832,4953529.78963101
"575",465219.371401749,4950773.49823654
"576",477586.59166217,4980007.5747022
"577",501434.750977554,4947448.26205107
"578",471793.526006163,4948018.70132675
"579",504598.551085577,4948694.4058923
"580",454051.207383892,4991226.17687315
"581",449173.34509667,4991455.99359741
"582",484308.578106456,4979072.69101479
"583",479847.005349334,4949032.75375666
"584",453833.617566863,4995336.92414169
"585",465477.153571801,4983568.73056412
"586",505586.026535528,4959305.44005412
"587",492462.320071578,4958935.86040695
"588",493638.44416915,4956916.67857059
"589",494188.066553938,4967907.91069466
"590",444088.944038138,4994208.59338286
"591",488110.171432127,4952217.00530878
"592",467273.236226964,4956334.68115873
"593",474516.137598797,4946972.91420469
"594",460704.608044129,4973351.73520123
"595",444179.090953843,4997676.58872151
"596",447598.938586941,4931272.14219898
"597",490002.424025736,4964958.97242682
"598",492039.644035584,4953759.19084422
"599",462053.820435992,4949521.2084253
"600",475911.461854981,4939920.22497664
"601",481679.553353347,4952534.93991649
"602",456733.658979001,4991643.59871837
"603",453703.850182453,4947265.10675311
"604",465207.232173744,4994370.24021822
"605",487506.153505524,4970405.55749713
"606",449252.826498325,4993877.62844297
"607",467212.427743659,4945302.21476902
"608",470822.32218082,4985138.32754725
"609",468304.988216984,4994598.545375
"610",452786.105589352,4983958.68120191
"611",492827.534671501,4950709.20706547
"612",494022.743399713,4972735.9001787
"613",434591.386910231,4989836.58673441
"614",488815.110121033,4961887.3213303
"615",434141.388512464,4998166.18678204
"616",458582.234069227,5003498.54532441
"617",491902.2424223,4965985.77529502
"618",461036.841269852,4944630.52104192
"619",499943.089155579,4970505.12917716
"620",496743.92413476,4971304.75082349
"621",487726.468400453,4938808.58722122
"622",489673.657905916,4957511.12057292
"624",365962.305442049,5075069.45374235
"625",391213.763860028,5073784.81720397
"626",367880.892320635,5067597.75493542
"627",401788.525049304,5055235.71123861
"628",352968.587930478,5059217.74375602
"629",353108.914630008,5065790.70885842
"630",401430.266594791,5078917.95008259
"631",363880.711964275,5057059.41890644
"632",402415.847726835,5052199.94256121
"633",382971.779466553,5085135.46850784
"634",375760.214509375,5062450.24397917
"635",403131.538131007,5068395.84768328
"636",403429.49262475,5063049.6727895
"637",401952.677698582,5059651.7436942
"638",386859.757662198,5063818.87979697
"639",394614.402135077,5077217.64229128
"640",390836.863646506,5058444.05425456
"641",389423.979375138,5051468.83103226
"642",371108.453838093,5060995.83090198
